index,Body Type,Color,Condition,Engine Capacity (CC),Kilometers,Model,Transmission Type,Year,brand,price
538,SUV,White,Used ,1600 cc," 10,000 KM",C5,Automatic,2021,Citroen,"527,000 EGP"
1510,SUV,NA, New ,1600 cc,0 KM,Sportage,Automatic,2021,Kia,"529,900 EGP"
757,Sedan,Baby Blue,Used ,1400 cc," 122,000 KM",Siena,Manual,2003,Fiat,"53,000 EGP"
1123,Sedan,Maroon,Used ,1500 cc," 290,000 KM",Excel,Manual,1996,Hyundai,"53,000 EGP"
1685,Sedan,Navy Blue,Used ,1600 cc," 129,000 KM",Familia,Manual,1997,Mazda,"53,000 EGP"
2874,Hatchback,Silver,Used ,1300 cc," 10,000 KM",Felicia,Manual,1996,Skoda,"53,000 EGP"
180,Sedan,Blue,Used ,3000 cc," 101,000 KM",528,Automatic,2011,BMW,"530,000 EGP"
1225,SUV,Silver,Used ,1600 cc, 200 KM,Tucson,Automatic,2021,Hyundai,"530,000 EGP"
1352,SUV,NA, New ,1400 cc,0 KM,Renegade,Automatic,2020,Jeep,"530,000 EGP"
2330,SUV,NA, New ,1600 cc,0 KM,Land,Automatic,2021,Opel,"530,000 EGP"
2481,SUV,Silver,Used ,1600 cc, 200 KM,5008,Automatic,2020,Peugeot,"530,000 EGP"
25,Sedan,Black,Used ,1000 cc," 10,000 KM",A3,Automatic,2020,Audi,"535,000 EGP"
51,SUV,Dark Grey,Used ,1400 cc, 0 KM,Q2,Dual Clutch,2021,Audi,"535,000 EGP"
60,Sedan,Dark Grey,Used ,2000 cc," 85,000 KM",Q5,Automatic,2015,Audi,"535,000 EGP"
1122,Sedan,Maroon,Used ,1500 cc," 179,000 KM",Excel,Manual,1996,Hyundai,"54,000 EGP"
268,SUV,Silver,Used ,4400 cc, 10 KM,X6,Automatic,2021,BMW,"540,000 EGP"
1893,Sedan,Gray,Used ,1800 cc," 127,000 KM",250,Automatic,2010,Mercedes,"540,000 EGP"
546,SUV,Gray,Used ,1600 cc, 10 KM,Aircross,Automatic,2021,Citroen,"547,000 EGP"
1472,SUV,NA, New ,2400 cc,0 KM,Sorento,Automatic,2020,Kia,"549,900 EGP"
353,Sedan,Baby Blue,Used ,1600 cc," 330,000 KM",A11,Manual,2009,Cherry,"55,000 EGP"
513,Hatchback,Blue,Used ,1400 cc," 150,000 KM",C3,Manual,2004,Citroen,"55,000 EGP"
615,Hatchback,Green,Used ,800 cc," 150,000 KM",Matiz,Manual,1999,Daewoo,"55,000 EGP"
666,Hatchback,Yellow,Used ,1000 cc," 60,000 KM",127,Manual,1985,Fiat,"55,000 EGP"
745,Sedan,Black,Used ,1600 cc, 55 KM,Punto,Manual,2008,Fiat,"55,000 EGP"
758,Sedan,Navy Blue,Used ,1400 cc," 114,000 KM",Siena,Manual,2003,Fiat,"55,000 EGP"
765,Sedan,Navy Blue,Used ,1400 cc," 265,000 KM",Siena,Manual,2001,Fiat,"55,000 EGP"
810,Sedan,Black,Used ,1300 cc," 60,000 KM",Escort,Manual,1999,Ford,"55,000 EGP"
874,Sedan,Black,Used ,1500 cc," 107,000 KM",2,Manual,2008,Geely,"55,000 EGP"
912,Hatchback,Silver,Used ,1300 cc," 90,000 KM",Peri,Manual,2009,Great,"55,000 EGP"
1125,Sedan,Maroon,Used ,1500 cc," 200,000 KM",Excel,Manual,1995,Hyundai,"55,000 EGP"
1466,Sedan,Green,Used ,1500 cc, 0 KM,Sephia,Manual,1995,Kia,"55,000 EGP"
1542,Sedan,Maroon,Used ,1600 cc," 70,000 KM",2107,Manual,2011,Lada,"55,000 EGP"
1551,Sedan,Green,Used ,1600 cc," 140,000 KM",2110,Manual,2006,Lada,"55,000 EGP"
2346,Sedan,Brown,Used ,1500 cc," 17,000 KM",Insignia,Automatic,2020,Opel,"55,000 EGP"
2460,Sedan,Black,Used ,1600 cc," 200,000 KM",405,Manual,2003,Peugeot,"55,000 EGP"
2464,Sedan,Maroon,Used ,2000 cc," 350,000 KM",405,Manual,1996,Peugeot,"55,000 EGP"
2945,Sedan,Silver,Used ,1300 cc," 178,000 KM",A213,Manual,2008,Speranza,"55,000 EGP"
3046,Hatchback,Black,Used ,1100 cc," 120,000 KM",Alto,Manual,2008,Suzuki,"55,000 EGP"
3047,Hatchback,Black,Used ,800 cc," 134,000 KM",Alto,Manual,2007,Suzuki,"55,000 EGP"
3072,Hatchback,Champagne,Used ,800 cc," 89,000 KM",Maruti,Manual,2009,Suzuki,"55,000 EGP"
3080,Sedan,Maroon,Used ,1300 cc," 19,999,999 KM",Swift,Manual,1997,Suzuki,"55,000 EGP"
3276,Van,White,Used ,1600 cc," 1,000 KM",Transporter,Manual,1983,Volkswagen,"55,550 EGP"
539,Hatchback,White,Used ,1600 cc," 30,000 KM",C5,Automatic,2020,Citroen,"55,555 EGP"
112,Sedan,White,Used ,1500 cc," 50,000 KM",318i,Automatic,2019,BMW,"550,000 EGP"
586,SUV,NA, New ,1200 cc,0 KM,Crossback,Automatic,2021,DS,"550,000 EGP"
906,SUV,Maroon,Used ,3600 cc," 120,000 KM",Yukon,Automatic,2011,GMC,"550,000 EGP"
1761,Sedan,Black,Used ,1800 cc," 90,000 KM",250,Manual,2012,Mercedes,"550,000 EGP"
1888,Sedan,Black,Used ,2000 cc," 150,000 KM",250,Automatic,2012,Mercedes,"550,000 EGP"
1998,SUV,NA,Used ,1600 cc," 58,000 KM",200,Automatic,2015,Mercedes,"550,000 EGP"
2411,SUV,White,Used ,1600 cc," 32,000 KM",3008,Automatic,2019,Peugeot,"550,000 EGP"
2484,SUV,Gray,Used ,1600 cc," 37,000 KM",5008,Automatic,2020,Peugeot,"550,000 EGP"
2799,SUV,NA, New ,1400 cc,0 KM,ATECA,Automatic,2021,Seat,"550,000 EGP"
2882,Hatchback,Maroon,Used ,1400 cc," 13,000 KM",KAROQ,Automatic,2021,Skoda,"550,000 EGP"
3114,Sedan,Silver,Used ,2500 cc," 70,000 KM",Camry,Automatic,2015,Toyota,"550,000 EGP"
3272,SUV,Silver,Used ,1400 cc," 75,000 KM",Tiguan,Automatic,2018,Volkswagen,"550,000 EGP"
24,Sedan,NA, New ,1000 cc,0 KM,A3,Automatic,2020,Audi,"555,000 EGP"
115,Sedan,White,Used ,1500 cc," 35,000 KM",318i,Automatic,2019,BMW,"555,000 EGP"
1235,SUV,NA, New ,1600 cc,0 KM,NX4e,Dual Clutch,2021,Hyundai,"555,000 EGP"
1841,Coupe,Black,Used ,1600 cc," 60,000 KM",180,Automatic,2018,Mercedes,"555,000 EGP"
2308,Cabriolet,White,Used ,1600 cc," 25,000 KM",Cascada,Automatic,2018,Opel,"555,000 EGP"
2416,SUV,White,Used ,1600 cc," 37,000 KM",3008,Automatic,2019,Peugeot,"555,000 EGP"
1475,SUV,Brown,Used ,3500 cc," 6,000 KM",Sorento,Automatic,2020,Kia,"558,000 EGP"
2345,Sedan,NA, New ,1500 cc,0 KM,Insignia,Automatic,2020,Opel,"559,990 EGP"
3,Hatchback,Gold,Used ,1600 cc," 197,000 KM",romeo,Manual,1996,Alfa,"56,000 EGP"
760,Sedan,Dark Grey,Used ,1400 cc, 106 KM,Siena,Manual,2002,Fiat,"56,000 EGP"
3042,Hatchback,Red,Used ,1100 cc," 190,000 KM",Alto,Manual,2009,Suzuki,"56,000 EGP"
2415,SUV,White,Used ,1600 cc," 37,000 KM",3008,Automatic,2019,Peugeot,"560,000 EGP"
2800,SUV,NA, New ,1400 cc,0 KM,ATECA,Automatic,2021,Seat,"560,000 EGP"
2801,SUV,Navy Blue,Used ,1400 cc," 11,500 KM",ATECA,Automatic,2021,Seat,"560,000 EGP"
2883,SUV,NA, New ,1400 cc,0 KM,KODIAQ,Automatic,2021,Skoda,"560,000 EGP"
1219,SUV,NA, New ,1600 cc,0 KM,Tucson,Automatic,2021,Hyundai,"564,900 EGP"
856,SUV,NA, New ,1500 cc,0 KM,Kuga,Automatic,2019,Ford,"565,000 EGP"
2487,SUV,Gray,Used ,1600 cc," 29,000 KM",5008,Automatic,2019,Peugeot,"565,000 EGP"
2488,SUV,Dark Grey,Used ,1600 cc," 28,000 KM",5008,Automatic,2019,Peugeot,"568,000 EGP"
766,Sedan,Factory Paint,Used ,1400 cc," 150,000 KM",Siena,Manual,2001,Fiat,"57,000 EGP"
796,Hatchback,White,Used ,1000 cc," 80,000 KM",Uno,Manual,1998,Fiat,"57,000 EGP"
873,Sedan,Dark Grey,Used ,1500 cc," 142,016 KM",2,Manual,2009,Geely,"57,000 EGP"
1119,Sedan,Green,Used ,1500 cc, 270 KM,Excel,Automatic,1997,Hyundai,"57,000 EGP"
1120,Sedan,Green,Used ,1500 cc, 270 KM,Excel,Automatic,1997,Hyundai,"57,000 EGP"
1121,Sedan,Green,Used ,1500 cc, 270 KM,Excel,Automatic,1997,Hyundai,"57,000 EGP"
2459,Sedan,Blue,Used ,1600 cc," 280,000 KM",405,Manual,2004,Peugeot,"57,000 EGP"
2597,Sedan,White,Used ,1500 cc," 153,254 KM",Wira,Automatic,2005,Proton,"57,000 EGP"
3068,Hatchback,Maroon,Used ,800 cc," 10,000 KM",Maruti,Manual,2011,Suzuki,"57,000 EGP"
3069,Hatchback,Black,Used ,800 cc," 92,000 KM",Maruti,Manual,2011,Suzuki,"57,000 EGP"
185,Sedan,Gray,Used ,3000 cc," 155,000 KM",535i,Manual,2012,BMW,"570,000 EGP"
1840,Sedan,NA,Used ,1600 cc," 130,000 KM",180,Automatic,2018,Mercedes,"570,000 EGP"
2924,Sedan,NA, New ,1400 cc,0 KM,Superb,Automatic,2021,Skoda,"570,000 EGP"
3267,SUV,NA, New ,1400 cc,0 KM,Tiguan,Dual Clutch,2021,Volkswagen,"570,000 EGP"
842,Sedan,NA, New ,2000 cc,0 KM,Fusion,Automatic,2021,Ford,"575,000 EGP"
3122,Sedan,NA, New ,1800 cc,0 KM,Corolla,Automatic,2021,Toyota,"576,000 EGP"
792,Hatchback,Turquoise,Used ,1300 cc," 174,000 KM",Uno,Manual,2007,Fiat,"58,000 EGP"
811,Sedan,Maroon,Used ,1300 cc," 43,000 KM",Escort,Manual,1998,Ford,"58,000 EGP"
2193,Sedan,Silver,Used ,1600 cc," 50,000 KM",Shahin,Manual,2008,Nasr,"58,000 EGP"
2194,Sedan,Silver,Used ,1600 cc," 50,000 KM",Shahin,Manual,2008,Nasr,"58,000 EGP"
2600,Sedan,Navy Blue,Used ,1600 cc, 195 KM,Wira,Automatic,2001,Proton,"58,000 EGP"
3066,Hatchback,Silver,Used ,800 cc," 50,000 KM",Maruti,Manual,2013,Suzuki,"58,000 EGP"
3070,Hatchback,Silver,Used ,800 cc," 74,000 KM",Maruti,Manual,2011,Suzuki,"58,000 EGP"
113,Sedan,Gray,Used ,1500 cc," 25,000 KM",318i,Automatic,2019,BMW,"580,000 EGP"
1220,SUV,Silver,Used ,1600 cc, 0 KM,Tucson,Automatic,2021,Hyundai,"580,000 EGP"
1221,SUV,Silver,Used ,1600 cc, 0 KM,Tucson,Automatic,2021,Hyundai,"580,000 EGP"
1274,SUV,Black,Used ,6000 cc," 2,500,000 KM",QX56,Automatic,2008,Infiniti,"580,000 EGP"
1365,SUV,Maroon,Used ,3600 cc," 74,000 KM",Wrangler,Automatic,2016,Jeep,"580,000 EGP"
1887,Sedan,White,Used ,800 cc," 149,000 KM",250,Automatic,2012,Mercedes,"580,000 EGP"
1890,Sedan,Black,Used ,1800 cc," 116,000 KM",250,Automatic,2011,Mercedes,"580,000 EGP"
1950,Sedan,Bronze,Used ,3000 cc," 147,000 KM",E300,Automatic,2011,Mercedes,"580,000 EGP"
2410,SUV,Gray,Used ,1600 cc," 50,000 KM",3008,Automatic,2020,Peugeot,"580,000 EGP"
1239,SUV,Bronze,Used ,1600 cc, 30 KM,NX4e,Dual Clutch,2021,Hyundai,"585,000 EGP"
2835,SUV,NA, New ,1400 cc,0 KM,Tarraco,Automatic,2021,Seat,"585,000 EGP"
2805,Hatchback,NA, New ,2000 cc,0 KM,Cupra,Automatic,2020,Seat,"589,900 EGP"
2196,Sedan,Factory Paint,Used ,1500 cc," 80,000 KM",Shahin,Manual,2005,Nasr,"59,000 EGP"
1172,Sedan,NA, New ,1600 cc,0 KM,IONIQ,Automatic,2019,Hyundai,"590,000 EGP"
1838,Sedan,White,Used ,1600 cc," 79,000 KM",180,Automatic,2019,Mercedes,"590,000 EGP"
2027,SUV,Black,Used ,2000 cc," 64,000 KM",250,Automatic,2014,Mercedes,"590,000 EGP"
2880,SUV,NA, New ,1400 cc,0 KM,KAROQ,Automatic,2021,Skoda,"590,000 EGP"
3270,SUV,Silver,Used ,1400 cc," 18,000 KM",Tiguan,Automatic,2020,Volkswagen,"590,000 EGP"
216,SUV,Navy Blue,Used ,2000 cc," 33,000 KM",X1,Automatic,2019,BMW,"595,000 EGP"
1236,SUV,NA, New ,1600 cc,0 KM,NX4e,Dual Clutch,2021,Hyundai,"595,000 EGP"
587,SUV,NA, New ,1600 cc,0 KM,Crossback,Automatic,2021,DS,"598,000 EGP"
2499,Sedan,NA, New ,1600 cc,0 KM,508,Automatic,2021,Peugeot,"598,990 EGP"
2553,Sedan,NA, New ,4000 cc,0 KM,S,Automatic,2021,Porsche,"6,045,180 EGP"
1594,Sedan,NA, New ,3500 cc,0 KM,LS500,Automatic,2020,Lexus,"6,300,000 EGP"
344,Hatchback,Blue,Used ,1100 cc," 93,000 KM",Mini,Manual,2013,Changan,"60,000 EGP"
730,Hatchback,Black,Used ,1000 cc," 167,000 KM",Palio,Manual,2006,Fiat,"60,000 EGP"
733,Sedan,Navy Blue,Used ,1600 cc," 25,000 KM",Petra,Manual,2003,Fiat,"60,000 EGP"
761,Sedan,NA,Used ,1400 cc," 136,000 KM",Siena,Manual,2001,Fiat,"60,000 EGP"
1115,Sedan,Gray,Used ,1500 cc," 79,000 KM",Excel,Manual,1998,Hyundai,"60,000 EGP"
1470,Sedan,Turquoise,Used ,1500 cc," 220,000 KM",Shuma,Manual,1997,Kia,"60,000 EGP"
1687,Sedan,Green,Used ,2000 cc," 20,000 KM",190,Automatic,1983,Mercedes,"60,000 EGP"
2195,Sedan,Green,Used ,1600 cc, 140 KM,Shahin,Manual,2006,Nasr,"60,000 EGP"
2601,Sedan,Navy Blue,Used ,1300 cc," 45,000 KM",Wira,Manual,2000,Proton,"60,000 EGP"
2786,Sedan,Silver,Used ,1300 cc," 85,000 KM",Pride,Manual,2009,Saipa,"60,000 EGP"
2787,Hatchback,Orange,Used ,1300 cc, 141 KM,Pride,Manual,2006,Saipa,"60,000 EGP"
2788,Sedan,Gray,Used ,1300 cc," 170,000 KM",sedan,Manual,2009,Saipa,"60,000 EGP"
2867,Station,Silver,Used ,1300 cc," 126,000 KM",Felicia,Manual,1999,Skoda,"60,000 EGP"
2932,Hatchback,Yellow,Used ,1100 cc," 38,000 KM",Smart,Manual,2008,Smart,"60,000 EGP"
177,Sedan,Blue,Used ,2000 cc," 97,000 KM",528,Automatic,2015,BMW,"600,000 EGP"
207,Sedan,Silver,Used ,4000 cc," 130,000 KM",750i,Automatic,2011,BMW,"600,000 EGP"
220,SUV,Silver,Used ,2000 cc," 33,000 KM",X1,Automatic,2018,BMW,"600,000 EGP"
229,Automatic,NA,Used ,NA," 22,000 KM",X2,1500 cc,2019,BMW,"600,000 EGP"
815,Van,Green,Used ,4000 cc," 74,000 KM",Explorer,Automatic,1997,Ford,"600,000 EGP"
1842,Station,Gray,Used ,1600 cc," 45,000 KM",180,Automatic,2018,Mercedes,"600,000 EGP"
1843,Sedan,Silver,Used ,1600 cc," 40,000 KM",180,Automatic,2018,Mercedes,"600,000 EGP"
1889,Sedan,Black,Used ,1800 cc," 100,000 KM",250,Automatic,2011,Mercedes,"600,000 EGP"
2099,Hatchback,NA, New ,1500 cc,0 KM,Cooper,Automatic,2021,Mini,"600,000 EGP"
2113,Hatchback,NA, New ,1500 cc,0 KM,Clubman,Automatic,2021,Mini,"600,000 EGP"
2116,SUV,NA, New ,1500 cc,0 KM,Countryman,Automatic,2021,Mini,"600,000 EGP"
2483,SUV,Black,Used ,1600 cc," 30,000 KM",5008,Automatic,2020,Peugeot,"600,000 EGP"
2881,SUV,NA, New ,1400 cc,0 KM,KAROQ,Automatic,2021,Skoda,"600,000 EGP"
2954,Sedan,Black,Used ,1600 cc," 173,000 KM",A516,Manual,2010,Speranza,"600,000 EGP"
2500,Sedan,NA, New ,1600 cc,0 KM,508,Automatic,2021,Peugeot,"604,990 EGP"
2884,SUV,NA, New ,1400 cc,0 KM,KODIAQ,Automatic,2021,Skoda,"605,000 EGP"
2476,SUV,NA, New ,1600 cc,0 KM,5008,Automatic,2021,Peugeot,"609,990 EGP"
2199,Sedan,White,Used ,1400 cc," 150,000 KM",Shahin,Manual,2001,Nasr,"61,000 EGP"
221,Hatchback,Navy Blue,Used ,2000 cc," 27,000 KM",X1,Automatic,2018,BMW,"610,000 EGP"
1995,SUV,Gray,Used ,1600 cc," 105,000 KM",200,Automatic,2019,Mercedes,"610,000 EGP"
97,Cabriolet,Silver,Used ,1500 cc," 40,000 KM",218i,Automatic,2016,BMW,"615,000 EGP"
2482,SUV,Turquoise,Used ,1600 cc," 20,000 KM",5008,Automatic,2020,Peugeot,"615,000 EGP"
3123,Sedan,NA, New ,1800 cc,0 KM,Corolla,Automatic,2021,Toyota,"616,000 EGP"
477,Hatchback,Black,Used ,1000 cc," 159,790 KM",Spark,Manual,2010,Chevrolet,"62,000 EGP"
511,Hatchback,Baby Blue,Used ,1200 cc," 218,000 KM",C3,Manual,2005,Citroen,"62,000 EGP"
1549,Sedan,Black,Used ,1600 cc," 180,000 KM",2110,Manual,2007,Lada,"62,000 EGP"
2950,Sedan,White,Used ,1600 cc," 200,000 KM",A516,Manual,2010,Speranza,"62,000 EGP"
2953,Sedan,White,Used ,1600 cc," 200,000 KM",A516,Manual,2010,Speranza,"62,000 EGP"
3062,Hatchback,Silver,Used ,800 cc," 60,000 KM",Maruti,Manual,2014,Suzuki,"62,000 EGP"
52,SUV,Blue,Used ,1400 cc, 0 KM,Q2,Automatic,2021,Audi,"620,000 EGP"
82,SUV,NA, New ,1500 cc,0 KM,218,Automatic,2020,BMW,"620,000 EGP"
114,Sedan,Navy Blue,Used ,1500 cc," 41,000 KM",318i,Automatic,2019,BMW,"620,000 EGP"
217,SUV,NA,Used ,2000 cc," 54,000 KM",X1,Automatic,2018,BMW,"620,000 EGP"
226,SUV,Blue,Used ,1500 cc," 40,000 KM",X1,Automatic,2017,BMW,"620,000 EGP"
1295,Sedan,Silver,Used ,2000 cc," 90,000 KM",XE,Automatic,2017,Jaguar,"620,000 EGP"
2034,SUV,Gray,Used ,3000 cc," 190,000 KM",350,Automatic,2013,Mercedes,"620,000 EGP"
3235,Sedan,Dark Grey,Used ,1400 cc, 0 KM,Passat,Dual Clutch,2021,Volkswagen,"620,000 EGP"
144,Sedan,Black,Used ,3000 cc," 137,000 KM",340i,Automatic,2016,BMW,"625,000 EGP"
843,Sedan,NA, New ,2000 cc,0 KM,Fusion,Automatic,2021,Ford,"625,000 EGP"
1698,Sedan,NA, New ,1300 cc,0 KM,A180,Automatic,2021,Mercedes,"625,000 EGP"
1729,Hatchback,NA, New ,1300 cc,0 KM,180,Automatic,2021,Mercedes,"625,000 EGP"
1767,Sedan,Gray,Used ,1800 cc," 17,500 KM",250,Automatic,2012,Mercedes,"625,000 EGP"
2035,SUV,Black,Used ,3500 cc," 93,000 KM",350,Automatic,2013,Mercedes,"625,000 EGP"
2084,Sedan,Black,Used ,4000 cc," 128,000 KM",S500,Automatic,2007,Mercedes,"625,000 EGP"
2890,SUV,White,Used ,1400 cc, 35 KM,KODIAQ,Automatic,2021,Skoda,"625,000 EGP"
762,Sedan,Baby Blue,Used ,1400 cc," 134,000 KM",Siena,Manual,2001,Fiat,"63,000 EGP"
2197,Sedan,Silver,Used ,1600 cc," 150,000 KM",Shahin,Manual,2004,Nasr,"63,000 EGP"
2655,Sedan,Green,Used ,1200 cc, 241 KM,Clio,Manual,2004,Renault,"63,000 EGP"
3100,SUV,Green,Used ,1600 cc," 200,000 KM",Vitara,Manual,1998,Suzuki,"63,000 EGP"
3278,Sedan,Silver,Used ,2200 cc," 400,000 KM",740,Automatic,1984,Volvo,"63,000 EGP"
136,Sedan,Factory Paint,Used ,2000 cc," 50,000 KM",320i,Automatic,2018,BMW,"630,000 EGP"
242,SUV,Black,Used ,2000 cc," 128,000 KM",X3,Automatic,2017,BMW,"630,000 EGP"
1766,Sedan,Black,Used ,1800 cc," 23,000 KM",250,Automatic,2012,Mercedes,"630,000 EGP"
1833,Sedan,Factory Paint,Used ,3500 cc," 114,000 KM",C350,Automatic,2013,Mercedes,"630,000 EGP"
2925,Sedan,NA, New ,1400 cc,0 KM,Superb,Automatic,2021,Skoda,"630,000 EGP"
1839,Sedan,Dark Grey,Used ,1600 cc," 49,000 KM",180,Automatic,2019,Mercedes,"635,000 EGP"
1886,Sedan,Black,Used ,1800 cc," 98,000 KM",250,Automatic,2012,Mercedes,"635,000 EGP"
2836,SUV,NA, New ,1400 cc,0 KM,Tarraco,Automatic,2021,Seat,"635,000 EGP"
1034,Sedan,White,Used ,1500 cc," 400,000 KM",Avante,Manual,1997,Hyundai,"64,000 EGP"
2602,Sedan,Blue,Used ,1600 cc," 168,000 KM",Wira,Automatic,1999,Proton,"64,000 EGP"
8,Sedan,White,Used ,2000 cc," 13,000 KM",Giulia,Automatic,2020,Alfa,"640,000 EGP"
1700,Sedan,NA, New ,1300 cc,0 KM,A180,Automatic,2021,Mercedes,"645,000 EGP"
3268,SUV,NA, New ,1400 cc,0 KM,Tiguan,Dual Clutch,2021,Volkswagen,"645,900 EGP"
946,SUV,NA, New ,1500 cc,0 KM,CRV,Automatic,2020,Honda,"649,000 EGP"
1473,SUV,NA, New ,3500 cc,0 KM,Sorento,Automatic,2020,Kia,"649,900 EGP"
303,Sedan,Blue,Used ,1500 cc," 46,000 KM",F3,Manual,2020,BYD,"65,000 EGP"
515,Hatchback,Baby Blue,Used ,1300 cc," 159,000 KM",C3,Manual,2003,Citroen,"65,000 EGP"
564,Hatchback,Blue,Used ,1500 cc," 224,000 KM",Juliet,Manual,2000,Daewoo,"65,000 EGP"
768,Sedan,White,Used ,1600 cc," 183,000 KM",Tempra,Manual,2000,Fiat,"65,000 EGP"
869,Sedan,Black,Used ,1600 cc," 430,000 KM",Mondeo,Manual,2000,Ford,"65,000 EGP"
900,Hatchback,Silver,Used ,1400 cc," 76,000 KM",Pandino,Manual,2015,Geely,"65,000 EGP"
919,Sedan,Factory Paint,Used ,2000 cc," 250,000 KM",Accord,Manual,1990,Honda,"65,000 EGP"
1281,Sedan,Red,Used ,1300 cc," 200,190 KM",S2,Manual,2010,JAC,"65,000 EGP"
1471,Hatchback,Red,Used ,1500 cc," 170,000 KM",Shuma,Manual,1997,Kia,"65,000 EGP"
1600,Hatchback,White,Used ,1300 cc," 80,000 KM",320,Manual,2011,Lifan,"65,000 EGP"
2137,Coupe,Gray,Used ,1300 cc," 2,008 KM",Colt,Manual,1993,Mitsubishi,"65,000 EGP"
2394,Hatchback,Silver,Used ,1100 cc," 150,000 KM",206,Manual,2001,Peugeot,"65,000 EGP"
2461,Sedan,Green,Used ,1600 cc," 265,000 KM",405,Manual,2001,Peugeot,"65,000 EGP"
2462,Sedan,Green,Used ,1600 cc," 265,000 KM",405,Manual,2001,Peugeot,"65,000 EGP"
2651,Sedan,Red,Used ,1200 cc, 153 KM,Clio,Manual,2007,Renault,"65,000 EGP"
2804,Sedan,Blue,Used ,1400 cc," 320,000 KM",Cordoba,Automatic,2006,Seat,"65,000 EGP"
3045,Hatchback,Black,Used ,1100 cc," 135,000 KM",Alto,Manual,2008,Suzuki,"65,000 EGP"
3065,Hatchback,White,Used ,1400 cc," 90,000 KM",Maruti,Manual,2013,Suzuki,"65,000 EGP"
3071,Hatchback,Silver,Used ,800 cc," 40,000 KM",Maruti,Manual,2011,Suzuki,"65,000 EGP"
3252,Hatchback,Silver,Used ,1600 cc," 180,000 KM",Pointer,Manual,2006,Volkswagen,"65,000 EGP"
46,Sedan,Dark Grey,Used ,1400 cc," 41,000 KM",A5,Automatic,2018,Audi,"650,000 EGP"
64,SUV,Silver,Used ,3600 cc," 96,000 KM",Q7,Automatic,2009,Audi,"650,000 EGP"
77,Hatchback,NA, New ,1500 cc,0 KM,118i,Dual Clutch,2021,BMW,"650,000 EGP"
139,Sedan,Gray,Used ,2000 cc," 70,000 KM",330i,Automatic,2017,BMW,"650,000 EGP"
140,Sedan,Navy Blue,Used ,2000 cc," 54,000 KM",330i,Automatic,2017,BMW,"650,000 EGP"
196,Sedan,Blue,Used ,3000 cc," 125,000 KM",740Li,Automatic,2013,BMW,"650,000 EGP"
197,Sedan,Navy Blue,Used ,3000 cc," 125,000 KM",740Li,Automatic,2013,BMW,"650,000 EGP"
203,Sedan,Black,Used ,5000 cc," 121,000 KM",LI,Automatic,2013,BMW,"650,000 EGP"
227,SUV,NA, New ,1500 cc,0 KM,X2,Automatic,2020,BMW,"650,000 EGP"
265,SUV,White,Used ,4300 cc," 122,000 KM",X5,Automatic,2011,BMW,"650,000 EGP"
340,Sedan,Black,Used ,6200 cc," 80,000 KM",Escalade,Automatic,2007,Cadillac,"650,000 EGP"
484,Sedan,White,Used ,5700 cc," 51,000 KM",300C,Automatic,2013,Chrysler,"650,000 EGP"
1951,Sedan,Maroon,Used ,3000 cc," 57,000 KM",E300,Automatic,2010,Mercedes,"650,000 EGP"
2066,Sedan,Black,Used ,3600 cc," 75,000 KM",S350,Automatic,2009,Mercedes,"650,000 EGP"
2100,Cabriolet,NA, New ,1500 cc,0 KM,Cooper,Automatic,2021,Mini,"650,000 EGP"
3269,SUV,Blue,Used ,1400 cc," 5,400 KM",Tiguan,Dual Clutch,2021,Volkswagen,"650,000 EGP"
2896,SUV,Black,Used ,1400 cc," 15,000 KM",KODIAQ,Automatic,2020,Skoda,"655,000 EGP"
914,Sedan,Black,Used ,1500 cc," 105,000 KM",3,Manual,2009,Haima,"66,000 EGP"
1463,Sedan,Green,Used ,1500 cc," 190,000 KM",Sephia,Automatic,1999,Kia,"66,000 EGP"
2471,Sedan,Maroon,Used ,2000 cc, 342 KM,406,Automatic,1999,Peugeot,"66,000 EGP"
3103,SUV,Red,Used ,1600 cc," 120,000 KM",Vitara,Manual,1985,Suzuki,"66,000 EGP"
3043,Hatchback,Silver,Used ,800 cc, 200 KM,Alto,Manual,2009,Suzuki,"66,500 EGP"
39,Sedan,Gray,Used ,1400 cc," 15,000 KM",A4,Automatic,2019,Audi,"660,000 EGP"
95,Cabriolet,Silver,Used ,1500 cc," 40,000 KM",218i,Automatic,2017,BMW,"660,000 EGP"
130,Sedan,Silver,Used ,2000 cc," 50,000 KM",320i,Automatic,2019,BMW,"660,000 EGP"
132,Sedan,Silver,Used ,2000 cc," 50,000 KM",320i,Automatic,2019,BMW,"660,000 EGP"
209,Sedan,Gray,Used ,4400 cc, 10 KM,M850i,Automatic,2021,BMW,"660,000 EGP"
588,SUV,NA, New ,1600 cc,0 KM,Crossback,Automatic,2021,DS,"660,000 EGP"
2025,Sedan,Gray,Used ,2000 cc," 100,000 KM",250,Automatic,2014,Mercedes,"660,000 EGP"
2905,Sedan,Dark Grey,Used ,2000 cc, 100 KM,Octavia,Automatic,2021,Skoda,"660,000 EGP"
2837,SUV,NA, New ,1400 cc,0 KM,Tarraco,Automatic,2021,Seat,"665,000 EGP"
2897,SUV,Silver,Used ,1400 cc," 17,000 KM",KODIAQ,Automatic,2020,Skoda,"665,000 EGP"
554,Hatchback,Silver,Used ,1600 cc," 179,000 KM",Zx,Manual,1997,Citroen,"67,000 EGP"
