,Ad_ID,date,brand,Model,Year,Condition,Kilometers,Engine Capacity (CC),Transmission Type,Body Type,Fabrica?,price
5149,arrizo,26-01-2023,Chery,ARRIZO 5,2023,Used,"1,000",1500,Manual,Sedan,,385000
5150,47932be09ddb40b28e27882c17165ea7,26-01-2023,Jeep,Renegade,2019,Used,"99,000",1400,Automatic,SUV,No,700000
5151,5638a8c66abb44a0b7176a2b475246f8,26-01-2023,Hyundai,I10,2022,Used,100,1200,Automatic,Hatchback,,520000
5152,gla,26-01-2023,Mercedes,GLA 200,2015,Used,"65,000",1600,Automatic,Hatchback,,925000
5162,e381d95611c94ea485b7e05f7149d801,26-01-2023,MG,HS,2021,Used,"51,000",1600,Automatic,SUV,Yes,770000
5163,0fc2e519353b49d0980fcbaf56a9be17,26-01-2023,Hyundai,Bayon,2022,Used,100,1400,Automatic,SUV,,805000
5164,1dcdf58cad184509bf6442e4baa08304,26-01-2023,BMW,523i,2010,Used,"115,000",2500,Automatic,Sedan,,525000
5165,elantra,26-01-2023,Hyundai,Elantra AD,2018,Used,"73,000",1600,Automatic,Sedan,Yes,490000
5166,dd1aadb7caf5477db437f39b0af00125,26-01-2023,Kia,Sephia,1999,Used,"200,000",1500,Manual,Sedan,Yes,110000
5167,1d71cfbb61784355ac846c88a6654b54,26-01-2023,Chevrolet,Lanos,2011,Used,"153,000",1500,Manual,Sedan,,123000
5168,84988113ec1e4713851816ab501a2183,26-01-2023,Renault,Megane,2009,Used,"184,000",1600,Automatic,Sedan,,190000
5169,arrizo,26-01-2023,Chery,ARRIZO 5,2023,Used,100,1500,Automatic,Sedan,,455000
5170,e300e,26-01-2023,Mercedes,E300e Amg,2020,Used,"10,000",2000,Automatic,Sedan,,2850000
5171,6a5416c05e85453fa3c531e516726d59,26-01-2023,Kia,Cerato,2010,Used,"180,000",1600,Automatic,Sedan,Yes,350000
5172,c25f3052119e4108a21113299ad54442,26-01-2023,Speranza,A516,2009,Used,"167,000",1600,Manual,Sedan,,100000
5173,glk,26-01-2023,Mercedes,GLK 250,2015,Used,"270,000",2000,Automatic,SUV,,1100000
5184,7b75217b142a4eb6909c6a86fb0be36c,26-01-2023,Fiat,Siena,2001,Used,"195,000",1400,Manual,Sedan,Yes,80000
5185,9c97deb36e0743a7b8e44e2480958a3f,26-01-2023,Speranza,A516,2009,Used,"300,000",1500,Manual,Sedan,,60000
5186,nissan,26-01-2023,Nissan Motor Egypt,Sentra,2016,Used,"128,000",1600,Automatic,Sedan,,350000
5187,nissan,26-01-2023,Nissan Motor Egypt,Sunny,2021,Used,"20,000",1500,Automatic,Sedan,Yes,390000
5188,48625321f8a548e389d2a476727c6d51,26-01-2023,Peugeot,301,2014,Used,"163,000",1500,Automatic,Sedan,Yes,220000
5189,0c3c2082edcc42c292315dd021a98741,26-01-2023,Mercedes,C200,2022,Used,"4,000",1500,Automatic,Sedan,Yes,2300000
5190,b354d3a331ed4666922d98ff0f12f07a,26-01-2023,MG,ZS,2022,Used,"2,000",1500,Automatic,SUV,Yes,216000
5191,5248b284aa694f93ba032d65cdc08182,26-01-2023,Ford,Kuga,2017,Used,"165,000",1500,Automatic,SUV,,680000
5192,cla,26-01-2023,Mercedes,CLA 180,2018,Used,"80,000",1600,Automatic,Sedan,,1300000
5193,verna,26-01-2023,Hyundai,Verna 1.6,2017,Used,"84,000",1600,Automatic,Sedan,,243000
5194,cf2cc238004946098a7d31569230673b,26-01-2023,Citroen,C5,2023,Used,"1,000",1600,Automatic,SUV,,1285000
5195,7603a981796546169e94a19413df803a,26-01-2023,Mazda,Familia,1994,Used,"292,502",1600,Manual,Sedan,Yes,75000
5205,843ff6eabce84e379fd1790e650d0855,26-01-2023,Mercedes,C180,2018,Used,"49,000",1600,Automatic,Sedan,,1450000
5206,88281eb808b1499d880993f97cfd2240,26-01-2023,Hyundai,Verna,2013,Used,"185,000",1500,Manual,Sedan,,177000
5207,af798032237d41009ec9b688bb4ceaa2,26-01-2023,Chevrolet,Cruze,2010,Used,"198,000",1600,Automatic,Sedan,Yes,2015000
5208,3f60e7722eb54b779cd773c47fc8b2a3,26-01-2023,Hyundai,Sonata,2010,Used,"236,000",2000,Automatic,Sedan,No,250000
5209,7c8dbfe82f24497e894d49bfbde1d8a2,26-01-2023,Toyota,Corolla,2019,Used,"64,000",1600,Automatic,Sedan,,710000
5210,350455d87ac74cfc98cbc1ef14f513d4,26-01-2023,Volkswagen,Tiguan,2022,Used,"1,000",1400,Dual Clutch,SUV,,1675000
5211,cb627b4b5eb846b09b2cadf910c66aa1,26-01-2023,Volkswagen,Golf,2023,Used,100,1500,Automatic,Hatchback,,1750000
5212,d5c047f5f0ef46caa2a751d5e2c39f8e,26-01-2023,Geely,Pandino,2010,Used,"100,000",1300,Manual,Hatchback,,90000
5213,a4b1a04ce9034f5c9e3be9a0c77b51bd,26-01-2023,Volkswagen,Passat,2008,Used,"153,000",1600,Automatic,Sedan,Yes,335000
5214,056a4343e0ac4adf8f8829263d046170,26-01-2023,BMW,316i,2015,Used,"103,000",1600,Automatic,Sedan,,675000
5215,b,26-01-2023,Mercedes,B 180,2014,Used,"150,000",1600,Automatic,Sedan,,550000
5216,00bf2cfccb25413295f7023b9621c60e,26-01-2023,Toyota,Corolla,2022,Used,"18,000",1600,Automatic,Sedan,,750000
5219,grand,09-02-2023,Opel,Grand Land,2021,Used,"44,270",1600,Automatic,SUV,Yes,930000
5227,arrizo,26-01-2023,Chery,ARRIZO 5,2021,Used,"10,000",1500,Manual,Sedan,,280000
5228,elantra,26-01-2023,Hyundai,Elantra CN7,2021,Used,"32,000",1600,Automatic,Sedan,,480000
5229,3ba5e9cbf0d04afdbb3ffceaf8e0235d,26-01-2023,Volkswagen,Tiguan,2023,Used,100,1500,Automatic,SUV,,1350000
5230,9c05028872a8497a89e46625c185d429,26-01-2023,Porsche,Macan,2023,Used,100,2000,Automatic,SUV,,3500000
5231,a83814a4e5804812a978ca70a2167519,26-01-2023,Peugeot,405,1993,Used,"200,000",1600,Manual,Sedan,,55000
5232,5bfc43619d8f487ba414e3b7dac8ca79,26-01-2023,Kia,Cerato,2017,Used,"80,000",1600,Automatic,Sedan,,470000
5233,06334de397c14c0489b9236b1e6cadf3,26-01-2023,Toyota,Corolla,2022,Used,"10,900",1600,Manual,Sedan,,719000
5234,84ebbc232e4c4b109b4ff411c82a2573,26-01-2023,BMW,X1,2017,Used,"71,000",1600,Automatic,SUV,,980000
5235,elantra,26-01-2023,Hyundai,Elantra AD,2019,Used,"52,000",1500,Automatic,Sedan,,580000
5236,nissan,26-01-2023,Nissan Motor Egypt,Sunny,2021,Used,"45,000",1500,Automatic,Sedan,,225000
5237,956b943c7fdd44aaa79690b97f34de21,26-01-2023,Subaru,XV,2016,Used,"130,000",1600,Automatic,SUV,,350000
5238,2b7b8723308b4f61b290065f47d7d0f8,26-01-2023,Chevrolet,Optra,2019,Used,"50,000",1500,Automatic,Sedan,,310000
5240,c35de82253364bfcbbd7606722a32ef2,09-02-2023,Renault,Megane,2021,Used,"60,000",1200,Automatic,Sedan,Yes,730000
5242,dde1829d1e004b49a9d36f4fe35eef4a,06-02-2023,Chevrolet,Optra,2023,Used,38,1500,Automatic,Sedan,,450000
5249,town,26-01-2023,Chrysler,Town and country,2012,Used,"190,000",3600,Automatic,SUV,,475000
5250,2ce707008b954d51ba2de374d6679cf5,26-01-2023,Kia,Soul,2013,Used,"151,000",1600,Automatic,Hatchback,,175000
5251,tiggo,26-01-2023,Chery,Tiggo 8,2021,Used,"25,000",1500,Automatic,SUV,,460000
5252,nissan,26-01-2023,Nissan Motor Egypt,X-Trail,2012,Used,"198,000",2500,Automatic,SUV,,350000
5253,9b36dc3667b24774a26d6d80f14511c3,26-01-2023,Hyundai,Bayon,2022,Used,320,1400,Automatic,SUV,,880000
5254,741e69ee6b2d4765b770419f89f65cf8,26-01-2023,Peugeot,508,2019,Used,"5,000",1600,Automatic,Sedan,Yes,850000
5255,882403fba3984f97a7ba642a8a0de95a,26-01-2023,Opel,Mokka,2022,Used,"2,000",1200,Automatic,SUV,,480000
5256,grand,26-01-2023,Opel,Grand Land,2018,Used,"66,000",1600,Automatic,SUV,,800000
5257,30f4bfd09ed74ccbb7543f4dd4dba12a,26-01-2023,Toyota,Yaris,2014,Used,"90,000",1300,Automatic,Sedan,,215000
5258,802b526a17a241439de72a658ff2d8ac,26-01-2023,MG,5,2021,Used,"12,000",1500,CVT,Sedan,Yes,470000
5259,c5302e77dc4c4ce2aae279de75984ccb,25-01-2023,Chevrolet,Lanos,2015,Used,"120,000",1500,Manual,Sedan,,185000
5270,countryman,25-01-2023,Mini,Countryman S,2011,Used,"220,000",1600,Automatic,Hatchback,,480000
5271,nissan,25-01-2023,Nissan Motor Egypt,Qashqai,2016,Used,"190,000",1200,Automatic,,,435000
5272,b66344a5869e48acbcbbe78da7a8a7ec,25-01-2023,Kia,Cerato,2009,Used,"97,000",1600,Automatic,Sedan,,280000
5273,c5,25-01-2023,Citroen,C5 Aircross,2021,Used,"32,000",1600,Automatic,SUV,,900000
5274,7f79a105a69b42a9a545d71d286d6817,25-01-2023,Skoda,Octavia,2021,Used,"31,000",1400,Automatic,Sedan,,1100000
5275,7690880767934c92aa4fee6d872161fa,25-01-2023,Skoda,KODIAQ,2020,Used,"100,000",1400,Automatic,SUV,,1030000
5276,c,25-01-2023,Mercedes,C 280,2009,Used,"144,400",3000,Automatic,Sedan,,800000
5277,xc,25-01-2023,Volvo,XC 40,2022,Used,10,2000,Automatic,SUV,,1800000
5278,cd9c6377e02845809439c2a9dfde04bd,25-01-2023,BYD,F3,2018,Used,"200,000",1600,Automatic,Sedan,,225000
5279,c50f31a35f3343619540ce3375e01dc5,25-01-2023,Chevrolet,Optra,2008,Used,"96,000",1500,Manual,Sedan,,230000
5280,510574286f27402cb1b1c031a5877fb9,25-01-2023,Seat,Leon,2022,Used,100,1400,Automatic,Hatchback,,925000
5281,ad1661bde28244daa73557b4507583b5,25-01-2023,Toyota,Corolla,2016,Used,"135,000",1600,Automatic,Sedan,,480000
5292,29221137f6d64ea5aa60e39ca18b1151,25-01-2023,Kia,Cerato,2015,Used,"110,000",1600,Automatic,Sedan,,455000
5293,7973cbd4be7b41478f26f3f04bd7da56,25-01-2023,Renault,Fluence,2015,Used,"113,000",1600,Automatic,Sedan,Yes,340000
5294,e,25-01-2023,Mercedes,E 250,2010,Used,"93,000",1800,Automatic,Sedan,,1200000
5295,c5,25-01-2023,Citroen,C5 Aircross,2021,Used,"39,000",1600,Automatic,SUV,,950000
5296,613ecfd7404c4584a3a1095417194fde,25-01-2023,Peugeot,3008,2022,Used,"18,000",1600,Automatic,SUV,,1100000
5297,260309cc171c44bdb0f73e3d21f686cb,25-01-2023,Suzuki,Ciaz,2022,Used,"45,000",1500,Automatic,Sedan,,470000
5298,a223121bb5eb40bbba18b0e3c1608741,25-01-2023,Brilliance,V3,2018,Used,"36,873",1500,Automatic,SUV,Yes,410000
5299,e75bbb53b6054bc58f473ec43d389da2,25-01-2023,Lada,2107,2005,Used,"71,000",1600,Manual,Sedan,,45000
5300,de5ac8dc8677489a9e233f6adf313fd6,25-01-2023,Skoda,Octavia,2007,Used,"175,000",1600,Automatic,Sedan,,360000
5301,78303cf3b16045bdb84396c0d66aeb5c,25-01-2023,Fiat,Ritmo,1983,Used,"100,000",1300,Manual,Hatchback,,25000
5302,fc366fa56db44e0b9b5499029d1cb3ba,25-01-2023,Nasr,Shahin,2006,Used,"100,000",1400,Manual,Sedan,,80000
5303,0d0fb4cb9e1d4ff58b1ed31cc927e5d6,25-01-2023,Mercedes,E300,2021,Used,"22,000",2000,Automatic,Sedan,,2700000
5313,529b623977494452987abe3aac5d483e,25-01-2023,Mitsubishi,Colt,1999,Used,"170,000",1500,Manual,Hatchback,,100000
5314,nissan,25-01-2023,Nissan Motor Egypt,Sentra,2021,Used,"55,000",1600,Automatic,Sedan,,450000
5315,d8470d1065ce4493abc623a603e10216,25-01-2023,Renault,Duster,2023,Used,200,1600,Automatic,SUV,,750000
5316,d172a28427ee4fc686b7518e92747af8,25-01-2023,MG,5,2022,Used,"18,000",1500,CVT,Sedan,,505000
5317,elantra,25-01-2023,Hyundai,Elantra HD,2007,Used,"160,000",1600,Automatic,Sedan,,245000
5318,tiggo,25-01-2023,Chery,Tiggo 3,2020,Used,"175,000",1600,Automatic,SUV,Yes,380000
5319,9061dbad16264b02988a2518f5cc386f,25-01-2023,MG,6,2022,Used,"1,300",1500,Automatic,Sedan,Yes,675000
