,Ad_ID,Body Shape,Car Status,Condition,Engine Capacity,Model,Transmission,Year,brand,price,Mileage,1400,3000,2000,1300,1600,Travel Range,1500,1200,Fuel Type,check,expand_less,5700,4400,1100,4000,1000,3200,3400
1628,https://www.contactcars.com/en/newcars4sale/citroen/c5-aircross/df9cfba93e9a4fa282d220a353c349f6-2023?status=New?dealer=1519485,SUV,New,New,1600,C5,Automatic,Aircross,Citroen,"407,500",,,,,,,,,,,,,,,,,,,
1629,https://www.contactcars.com/en/usedcars/bmw/418i/ca20395f486e443699681590542691e3-2016?status=Used,Sedan,,Sedan,1500,418i,Automatic,2016,BMW,"2,100,000","70,000",,,,,,,,,,,,,,,,,,
1630,https://www.contactcars.com/en/newcars4sale/skoda/kodiaq/df6339382c984f2f80f1dac5cfd97865-2023?status=New?dealer=1519420,,,Specifications of New Skoda KODIAQ 2023,,KODIAQ,,2023,Skoda,"720,000",,,,,,,,,,,check,Specifications of New Skoda KODIAQ 2023,,,,,,,
1631,https://www.contactcars.com/en/newcars4sale/volkswagen/tiguan/cb0912d1828c42888cbe27ccfe0f8250-2023?status=New?dealer=1519485,SUV,New,New,1400,Tiguan,Automatic,2023,Volkswagen,"537,500",,,,,,,,,,,,,,,,,,,
1632,https://www.contactcars.com/en/newcars4sale/skoda/kodiaq/8feb590cf2274afb9cfdd5db90e153a1-2023?status=New?dealer=1519420,,,Specifications of New Skoda KODIAQ 2023,,KODIAQ,,2023,Skoda,"645,000",,,,,,,,,,,check,Specifications of New Skoda KODIAQ 2023,,,,,,,
1633,https://www.contactcars.com/en/usedcars/subaru/xv/c841a4ee96954d689483c76575ec5544-2021?status=Used,SUV,,SUV,1600,XV,Automatic,2021,Subaru,"1,250,000","70,000",,,,,,,,,,,,,,,,,,
1634,https://www.contactcars.com/en/newcars4sale/bmw/520i/83eba64fcbd4497880692ac86165c452-2023?status=New,Sedan,New,New,1600,520i,Automatic,2023,BMW,"3,400,000",,,,,,,,,,,,,,,,,,,
1635,https://www.contactcars.com/en/newcars4sale/skoda/superb/dc6b048353064bd984332d42c5f29b8e-2023?status=New?dealer=1519420,,,Specifications of New Skoda Superb 2023,,Superb,,2023,Skoda,"800,000",,,,,,,,,,,check,Specifications of New Skoda Superb 2023,,,,,,,
1636,https://www.contactcars.com/en/usedcars/mercedes/s560/11585e25029a4e969074e951a7e50939-2019?status=Used,Sedan,,Sedan,4000,S560,Automatic,2019,Mercedes,"7,100,000","25,000",,,,,,,,,,,,,,,,,,
1637,https://www.contactcars.com/en/newcars4sale/skoda/superb/b337650e12224769b6b7dd624a826b46-2023?status=New?dealer=1519420,,,Specifications of New Skoda Superb 2023,,Superb,,2023,Skoda,"9,000,000",,,,,,,,,,,check,Specifications of New Skoda Superb 2023,,,,,,,
1638,https://www.contactcars.com/en/newcars4sale/skoda/superb/6c1e4197356443d7a97753fd13879631-2023?status=New?dealer=1519420,,,Specifications of New Skoda Superb 2023,,Superb,,2023,Skoda,"9,000,000",,,,,,,,,,,check,Specifications of New Skoda Superb 2023,,,,,,,
1639,https://www.contactcars.com/en/newcars4sale/skoda/superb/5d6bf8515c44459292e24d792f9edd7a-2023?status=New?dealer=1519420,,,Specifications of New Skoda Superb 2023,,Superb,,2023,Skoda,"9,000,000",,,,,,,,,,,check,Specifications of New Skoda Superb 2023,,,,,,,
1640,https://www.contactcars.com/en/newcars4sale/skoda/superb/af31d6a9331741a4a0dfb484dfd80aee-2023?status=New?dealer=1519420,,,Specifications of New Skoda Superb 2023,,Superb,,2023,Skoda,"900,000",,,,,,,,,,,check,Specifications of New Skoda Superb 2023,,,,,,,
